device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity,Image
14502972540,496269044442,"(0.29782912135124207, 0.1918657422065735)","(-110.950439453125, 246.06178283691406, 82.72216033935547)",1,4.69317626953125,1,"(-21.64555549621582, 5.673777103424072, 689.0497436523438)",1,"(0.31056642532348633, 0.12868700921535492)","(-103.91938781738281, 264.4958190917969, 89.43159484863281)",1,4.997711181640625,1,"(42.66865539550781, 4.958044528961182, 688.0875854492188)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
14502989286,496269061190,"(0.3012744188308716, 0.19632160663604736)","(-109.04859924316406, 244.7616729736328, 82.24893188476562)",1,4.6744842529296875,1,"(-21.73305892944336, 5.684843063354492, 689.4159545898438)",1,"(0.29123595356941223, 0.11655804514884949)","(-114.58987426757812, 268.0348205566406, 90.71965026855469)",1,5.113189697265625,1,"(42.67483139038086, 4.947824478149414, 688.4844360351562)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
14503005305,496269077211,"(0.30383962392807007, 0.2015801966190338)","(-107.63260650634766, 243.2273406982422, 81.69049835205078)",1,4.6577301025390625,1,"(-21.81294059753418, 5.680722713470459, 689.7711791992188)",1,"(0.30964404344558716, 0.13805581629276276)","(-104.42855072021484, 261.76226806640625, 88.43663787841797)",1,4.957000732421875,1,"(42.620792388916016, 5.003979682922363, 688.8059692382812)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
14503022506,496269094411,"(0.3005514144897461, 0.19461050629615784)","(-109.44770050048828, 245.2609100341797, 82.43067169189453)",1,4.6466064453125,1,"(-21.8464412689209, 5.668873310089111, 689.8162231445312)",1,"(0.31274938583374023, 0.14019261300563812)","(-102.71440887451172, 261.1387939453125, 88.2097396850586)",1,4.9606781005859375,1,"(42.58733367919922, 5.001857280731201, 688.8712768554688)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
14503039105,496269111009,"(0.29428520798683167, 0.1948266327381134)","(-112.90667724609375, 245.19784545898438, 82.4077377319336)",1,4.6311492919921875,1,"(-21.861785888671875, 5.660213470458984, 689.8648681640625)",1,"(0.31228265166282654, 0.13982757925987244)","(-102.9720458984375, 261.24530029296875, 88.24848937988281)",1,4.937255859375,1,"(42.559688568115234, 4.997900485992432, 688.9219360351562)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
14503055225,496269127130,"(0.29078128933906555, 0.19207024574279785)","(-114.84088134765625, 246.0021209716797, 82.700439453125)",1,4.619873046875,1,"(-21.96236801147461, 5.640811443328857, 689.68359375)",1,"(0.30523228645324707, 0.14730864763259888)","(-106.86383819580078, 259.0624694824219, 87.45405578613281)",1,4.90234375,1,"(42.43743896484375, 5.031992435455322, 688.7492065429688)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
14503072375,496269144281,"(0.2849445939064026, 0.18365781009197235)","(-118.0627212524414, 248.45668029785156, 83.59379577636719)",1,4.6144866943359375,1,"(-22.02327537536621, 5.624225616455078, 689.7431030273438)",1,"(0.2982860505580902, 0.13689462840557098)","(-110.6982192993164, 262.1010437011719, 88.55998992919922)",1,4.8931732177734375,1,"(42.359256744384766, 5.037733554840088, 688.8303833007812)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
14503089116,496269161024,"(0.28221219778060913, 0.17011059820652008)","(-119.57102966308594, 252.40940856933594, 85.03250885009766)",1,4.60797119140625,1,"(-22.077835083007812, 5.592204570770264, 690.3764038085938)",1,"(0.2951747477054596, 0.13230431079864502)","(-112.41567993164062, 263.4403991699219, 89.04741668701172)",1,4.89935302734375,1,"(42.375709533691406, 5.020411491394043, 689.4733276367188)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
14503105141,496269177050,"(0.28113096952438354, 0.17206236720085144)","(-120.1678695678711, 251.83995056152344, 84.82522583007812)",1,4.5859375,1,"(-22.143875122070312, 5.580837726593018, 690.6167602539062)",1,"(0.293445348739624, 0.14490267634391785)","(-113.37028503417969, 259.76446533203125, 87.7095718383789)",1,4.880950927734375,1,"(42.35163116455078, 5.035863876342773, 689.70166015625)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
14503122341,496269194249,"(0.2824959456920624, 0.17400634288787842)","(-119.41441345214844, 251.27273559570312, 84.6187744140625)",1,4.5919036865234375,1,"(-22.203004837036133, 5.564267158508301, 690.753662109375)",1,"(0.2892955541610718, 0.1449536681175232)","(-115.66098022460938, 259.7496032714844, 87.70413970947266)",1,4.8798370361328125,1,"(42.33576583862305, 5.034520626068115, 689.85302734375)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
14503139032,496269210940,"(0.28342780470848083, 0.17694051563739777)","(-118.90001678466797, 250.41659545898438, 84.30720520019531)",1,4.5714569091796875,1,"(-22.28722381591797, 5.553898811340332, 691.105712890625)",1,"(0.2950112819671631, 0.1357739269733429)","(-112.50591278076172, 262.42803955078125, 88.67898559570312)",1,4.86279296875,1,"(42.27650833129883, 5.016109466552734, 690.2319946289062)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
14503155056,496269226963,"(0.2803470194339752, 0.17714610695838928)","(-120.60060119628906, 250.3566131591797, 84.28536224365234)",1,4.5527801513671875,1,"(-22.35836410522461, 5.543264389038086, 691.553955078125)",1,"(0.29526618123054504, 0.13318510353565216)","(-112.36518096923828, 263.18341064453125, 88.95391845703125)",1,4.8426513671875,1,"(42.246700286865234, 5.016458988189697, 690.6614990234375)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
14503172211,496269244119,"(0.2778589129447937, 0.17739272117614746)","(-121.97403717041016, 250.28463745117188, 84.25917053222656)",1,4.5673370361328125,1,"(-22.390531539916992, 5.544846534729004, 691.78662109375)",1,"(0.29595085978507996, 0.132282555103302)","(-111.98723602294922, 263.44671630859375, 89.04975128173828)",1,4.8359832763671875,1,"(42.23417663574219, 5.025435924530029, 690.8965454101562)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
14503188947,496269260856,"(0.2814885079860687, 0.1800295114517212)","(-119.97049713134766, 249.51531982421875, 83.97911071777344)",1,4.5609283447265625,1,"(-22.437191009521484, 5.545100212097168, 692.014892578125)",1,"(0.29366183280944824, 0.13309034705162048)","(-113.25078582763672, 263.2110595703125, 88.96395111083984)",1,4.8163909912109375,1,"(42.234336853027344, 5.038459777832031, 691.1365356445312)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
14503204976,496269276885,"(0.28092432022094727, 0.17360708117485046)","(-120.28192138671875, 251.38922119140625, 84.66120147705078)",1,4.553466796875,1,"(-22.44807243347168, 5.539977550506592, 692.2607421875)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)",0,helldivers-time-to-take-out-the-trash-mart-virkus.png
14503222177,496269294086,"(0.2793842554092407, 0.1706029176712036)","(-121.13206481933594, 252.26577758789062, 84.98023986816406)",1,4.5316162109375,1,"(-22.45728874206543, 5.543482780456543, 692.5947875976562)",1,"(0.275223970413208, 0.09299983829259872)","(-123.42855072021484, 274.90850830078125, 93.22151947021484)",1,4.9733734130859375,1,"(42.34291458129883, 4.968138217926025, 691.8895874023438)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
14503238863,496269310772,"(0.29507654905319214, 0.17156794667243958)","(-112.46986389160156, 251.98419189453125, 84.87775421142578)",1,4.5223388671875,1,"(-22.364410400390625, 5.567480087280273, 692.9974365234375)",1,"(0.31791654229164124, 0.13554151356220245)","(-99.86211395263672, 262.495849609375, 88.70367431640625)",1,4.7909393310546875,1,"(42.43963623046875, 5.051331996917725, 692.082275390625)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
14503254780,496269326688,"(0.3708256781101227, 0.19030407071113586)","(-70.65606689453125, 246.51744079589844, 82.88800811767578)",1,4.536407470703125,1,"(-21.934803009033203, 5.580442905426025, 692.6254272460938)",1,"(0.38280701637268066, 0.12419400364160538)","(-64.0423583984375, 265.80682373046875, 89.90875244140625)",1,4.7796630859375,1,"(42.85382843017578, 5.006682395935059, 691.7306518554688)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
14503272047,496269343955,"(0.39020609855651855, 0.18454734981060028)","(-59.95806121826172, 248.19712829589844, 83.49935913085938)",1,4.55499267578125,1,"(-21.879819869995117, 5.5795722007751465, 693.993408203125)",1,"(0.39848849177360535, 0.12488451600074768)","(-55.3861083984375, 265.6053161621094, 89.8354263305664)",1,4.7769317626953125,1,"(43.03297424316406, 5.0180511474609375, 692.9747314453125)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
14503288779,496269360687,"(0.3919062912464142, 0.19122348725795746)","(-59.01953887939453, 246.2491912841797, 82.79035949707031)",1,4.522857666015625,1,"(-21.893714904785156, 5.5921525955200195, 694.431884765625)",1,"(0.39756226539611816, 0.12118632346391678)","(-55.89738845825195, 266.68438720703125, 90.22814178466797)",1,4.75390625,1,"(43.072296142578125, 5.028112888336182, 693.4033203125)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
14503304834,496269376741,"(0.39177411794662476, 0.18983030319213867)","(-59.09246826171875, 246.65567016601562, 82.93831634521484)",1,4.519866943359375,1,"(-21.84874725341797, 5.578355312347412, 693.4271850585938)",1,"(0.39698219299316406, 0.1234005019068718)","(-56.21760940551758, 266.038330078125, 89.99302673339844)",1,4.7469940185546875,1,"(43.050392150878906, 5.002163887023926, 692.4628295898438)",1,helldivers-time-to-take-out-the-trash-mart-virkus.png
